Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470pF","C_0805_2012Metric",113.000000,-157.000000,0.000000,top
"C2","470pF","C_0805_2012Metric",113.000000,-149.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",113.000000,-167.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",113.000000,-163.000000,0.000000,top
"C5","10uF","C_0805_2012Metric",113.000000,-173.000000,0.000000,top
"J1","Button1","JST_XH_1x02_P2.50mm_Vertical",128.000000,-165.000000,90.000000,top
"J2","Button2","JST_XH_1x02_P2.50mm_Vertical",128.000000,-156.000000,90.000000,top
"J3","Encoder","JST_XH_1x06_P2.50mm_Vertical",128.000000,-144.000000,90.000000,top
"R1","10k","R_0805_2012Metric",113.000000,-153.000000,0.000000,top
"R2","10k","R_0805_2012Metric",113.000000,-145.000000,0.000000,top
"U1","Teensy 4.1","Teensy4_1_Socketed_2x24",113.100000,-148.790000,0.000000,top
