Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470pF,C_0805_2012Metric,113.0,-157.0,0.0,top
C2,470pF,C_0805_2012Metric,113.0,-149.0,0.0,top
C3,100nF,C_0805_2012Metric,113.0,-167.0,0.0,top
C4,100nF,C_0805_2012Metric,113.0,-163.0,0.0,top
C5,10uF,C_0805_2012Metric,113.0,-173.0,0.0,top
J1,Button1,JST_XH_1x02_P2.50mm_Vertical,128.0,-163.75,90.0,top
J2,Button2,JST_XH_1x02_P2.50mm_Vertical,128.0,-154.75,90.0,top
J3,Encoder,JST_XH_1x06_P2.50mm_Vertical,128.0,-137.75,90.0,top
R1,10k,R_0805_2012Metric,113.0,-153.0,0.0,top
R2,10k,R_0805_2012Metric,113.0,-145.0,0.0,top
U1,Teensy 4.1,Teensy4_1_Socketed_2x24,113.1,-148.79,0.0,top
